Ainley, David G 	B-031-M 	Geographic structure of Adelie penguin populations: Demography of population expansion
Anandakrishnan, Sridhar 	I-205-M 	Tidal modulation of ice stream flow
Anderson, John B. 	G-083-N 	Shallow drilling along the Antarctic continental margin (SHALDRIL); A demonstration drilling cruise to the James Ross Basin
Anderson, John B. 	G-435-N 	Controls on sediment yields from tidewater glaciers from Patagonia to Antarctica
Andrews, Sarah 	W-218-M 	In cold pursuit (working title): A mystery novel set in Antarctica
Asper, Vernon 	B-390-P/N 	Development of a polar remote interactive marine observatory (PRIMO) near Palmer Station on the Western Antarctic Peninsula
Besson, Dave 	A-123-S 	Radio Ice Cherenkov Experiment (RICE)
Bieber, John 	A-120-M/S 	Solar and heliospheric studies with antarctic cosmic rays
Blanchette, Robert A 	B-038-M 	Investigations on deterioration in the historic huts of Antarctica
Bowser, Samuel S 	B-015-M 	Remotely operable micro environmental observatory for antarctic marine biology research
Bowser, Samuel S 	B-043-M 	Evolution of morphology and trophic strategies in antarctic agglutinated foraminifera
Butler, Rhett G 	G-090-P/S 	Global seismograph station at Palmer Station and the South Pole
Caldwell, Douglas A. 	A-103-S 	A search for extrasolar planets from the South Pole
Campbell, Alan 	W-219-M 	Images from a frozen continent
Carlstrom, John E 	A-379-S 	South Pole observations to test cosmological models
Charette, Matt 	B-276-N 	Plankton community structure and iron distribution in the southern Drake Passage
Chereskin, Teresa K 	O-317-L 	Shipboard Acoustic Doppler Current Profiling (ADCP) on R/V Laurence M. Gould
Chin, Yu-Ping 	B-300-M 	Biogeochemistry of dissolved organic material in Pony Lake, Ross Island
Church, Sarah E 	A-366-S 	Next generation CMB polarization measurements with the QUEST experiment on DASI
Conrad, Lawrence (Larry) J 	W-224-M 	Field guide to antarctic features: McMurdo Sound region
Dalziel, Ian W 	G-087-M 	A GPS network to determine crustal motions in the bedrock of the West Antarctic Ice Sheet
Day, Thomas A 	B-003-P 	Response of terrestrial ecosystems along the Antarctic Peninsula to a changing climate
Dempsey, John Patrick 	O-316-M 	Physics and mechanics of the breakup of warm antarctic sea ice: In-situ experiments and modeling
Deshler, Terry 	A-131-M 	Measurements addressing quantitative ozone loss, polar stratospheric cloud nucleation, and large polar stratospheric particles during austral winter and spring
DiTullio, Giacomo R 	B-272-N 	Interaction of iron, light and CO2 on phytoplankton community dynamics in the Ross Sea
Domack, Eugene 	G-096-L 	Paleohistory of the Larsen Ice Shelf System
Doran, Peter T 	B-211-M 	NASA-ASTEP: Subsurface ice and brine sampling: Life detection and characterization in the McMurdo Dry Valleys using an ultrasonic gopher
Doran, Peter T 	B-426-M 	The role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
Dowling, Carolyn B 	G-060-M 	The timing of the holocene climate change in the McMurdo Dry Valleys
Ducklow, Hugh W 	B-045-L/P 	Palmer Long Term Ecological Research (LTER): Climate migration, ecological response and teleconnections in an ice-dominated environment
Dunbar, Robert 	B-258-N 	Interaction of iron, light and CO2 on phytoplankton community dynamics in the Ross Sea
Eisele, Fred 	O-176-M/S 	Antarctic Troposphere Chemistry Investigation (ANTCI)
Ejiri, Masaki 	A-117-S 	All-sky imager at South Pole
Engebretson, Mark J 	A-102-M/S 	Conjugate studies of ULF waves and magnetospheric dynamics using ground-based induction magnetometers at four high-latitude manned sites
Firing, Eric 	O-315-N 	Shipboard Acoustic Doppler Current Profiling (ADCP) on R/V Nathaniel B. Palmer and R/V Laurence M. Gould
Fountain, Andrew George 	B-425-M 	The role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
Fraser, William R 	B-013-L/P 	Palmer long-term ecological research project: Climate migration, ecological response and teleconnections in an ice-dominated environment (Seabird component)
Fraser, William R 	B-198-P 	Monitoring the effects of tourism and environmental variability on Adelie penguins at Palmer Station
Fraser-Smith, Antony C. 	A-100-M 	The operation of an ELF/VLF radiometer at Arrival Heights
Fricker, Helen A 	I-277-E 	Monitoring an active rift system at the front of Amery Ice Shelf, East Antarctica/
Gargett, Ann E 	B-208-N 	Interactive effects of UV and vertical mixing on phytoplankton and bacterioplankton in the Ross Sea
Garrott, Robert Andrew 	B-009-M 	Patterns and processes: Dynamics of the Erebus Bay Weddell seal population
