Ainley, David 	B-031-M 	Adelie Penguin response to climate change at the individual, colony and metapopulation levels
Albert, Mary 	I-155-M 	Norwegian-United States IPY Scientific Traverse: Climate variability and glaciology in East Antarctica
Ashworth, Allan 	G-294-M 	Collaborative Research: Integrating geomorphological and paleoecological studies to reconstruct Neogene environments of the Transantarctic Mountains
Barbeau, David L. 	G-432-E 	COLLABORATIVE RESEARCH: Testing the Polar Gateway Glaciation Hypothesis: the Kinematic, Sedimentary, Water-Mass, and Ice-Volume Record of Drake Passage Opening
Bell, Robin E 	G-065-M 	Collaborative Research: GAMBIT: Gamburtsev aerogeophysical mapping of bedrock and ice targets
Bieber, John 	A-120-M 	Cosmic ray observations at McMurdo Station
Blankenship, Donald 	G-098-M 	IPY Research: Investigating the cryospheric evolution of the central Antarctic plate (ICECAP)
Bowser, Samuel 	G-093-M 	Collaborative Research: Linking modern benthic communities and taphonomic processes to the stratigraphic record of Antarctic cores
Carlstrom, John 	A-370-S 	Science Coordination Office for Astrophysical Research in Antarctica (SCOARA-II)
Carlstrom, John 	A-379-S 	Cosmological Research with the 10-meter South Pole Telescope
DeMaster, David 	B-237-L/N/P 	Collaborative research: Benthic faunal feeding dynamics on the Antarctic shelf and the effects of global climate change on bentho-pelagic coupling
Domack, Eugene 	C-515-L 	Collaborative Research in IPY: Abrupt Environmental Change in the Larsen Ice Shelf System, a Multidisciplinary Approach - Marine and Quaternary Geosciences
Doran, Peter 	B-426-M 	Role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
Emslie, Steven D 	B-034-E 	Stable isotope analyses of pygoscelid penguin remains from active and abandoned colonies in Antarctica
Evenson, Paul 	A-333-S 	IceCube operations and maintenance
Fountain, Andrew 	B-425-M 	Role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valleys LTER program
Fraser, Bill 	B-013-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, apex predator component
Garrott, Robert 	B-009-M 	The demographic consequences of environmental variability and individual heterogeneity in life-history tactics of a long-lived Antarctic marine predator
Gogineni, Prasad 	I-189-M 	Center for Remote Sensing of Ice Sheets (CReSIS) - Basler airborne radar survey
Gogineni, Prasad 	I-188-M 	Center for Remote Sensing of Ice Sheets (CReSIS) - ground radar and seismic operations
Gorham, Peter W 	A-142-M 	Antarctic Impulsive Transient Antenna (ANITA)
Hernandez, Gonzalo 	A-110-M/S 	Austral high-latitude atmospheric dynamics
Inan, Umran 	A-108-S 	A VLF beacon transmitter at South Pole
Inan, Umran 	A-327-N 	ELF/VLF observation in the southern Pacific Ocean
Inan, Umran 	A-336-P 	ELF/VLF observation of whistler-mode waves, lightning discharge, and gamma-ray events from Palmer Station
