Ainley, David 	B-031-M 	Adelie Penguin response to climate change at the individual, colony and metapopulation levels
Ainley, David 	B-042-M 	COLLABORATIVE RESEARCH: Penguin foraging reveals phytoplankton spatial structure in the Ross Sea
Allen, Andrew 	B-394-M 	Synergistic effects of iron, carbon dioxide and temperature on the fate of nitrate: Implications for future changes in export production in the Southern Ocean
Amaral Zettler, Linda Angela 	B-228-P 	Collaborative Research: Microbial Community Assembly in Coastal Waters of the Western Antarctic Peninsula
Anderson, Kent 	G-090-P/S 	Global seismograph station at South Pole and Palmer Station
Anderson, Kent 	G-090-P/S 	Global seismograph station at South Pole and Palmer Stations
Barbeau, David L. 	G-432-E 	COLLABORATIVE RESEARCH: EAGER: Evaluating the suitability of the Larsen basin for testing the Cretaceous glaciation hypothesis
Barwick, Steven 	A-127-M 	Development of hexagonal radio array for the ARIANNA ultra-high energy neutrino detector
Bench, Shelley R 	B-018-P 	PostDoctoral Research Fellowship
Bentley, Charles 	T-350-M 	Ice Coring and Drilling Services (ICDS) support for WAIS Divide
Bieber, John 	A-120-M 	Cosmic ray observations at McMurdo Station
Bindschadler, Robert 	C-407-M 	IPY: Collaborative Research: Ocean-ice sheet interaction in the Amundsen Sea: The keystone of West Antarctic stability
Blankenship, Donald 	G-098-M 	International cryospheric exploration through collaborative aerogeophysical profiling/Operation Ice Bridge (OIB)
Bockheim, James 	G-239-P 	Impact of recent climate warming on active-layer dynamics, permafrost, and soil properties on the western Antarctic Peninsula
Bristow, William 	A-369-M/S 	McMurdo and South Pole SuperDARN: Investigation of the ionospheric dynamics and magnetosphere-ionosphere coupling in Antarctica
Buckley, Bradley 	B-308-M 	The cellular stress response in cold-adapted organisms: Building novel mechanistic links between heat stress, cell cycle arrest and apoptosis in Antarctic fishes.
Carlstrom, John 	A-379-S 	Cosmological Research with the 10-meter South Pole Telescope
Carpenter, Paul 	T-299-M 	IRIS/PASSCAL seismic support
Cassano, John 	O-240-M 	Collaborative Research: Ocean-ice-atmosphere interactions in the Terra Nova Bay polynya
Cassar, Nicolas 	O-405-L 	Physiological and ecosystem structure forcings on carbon fluxes in the Southern Ocean mixed layer
Cheng, Chi-Hing Christina 	B-010-L/M/P 	Antarctic notothenioid fish freeze avoidance and genome-wide evolution for life in the cold
Chereskin, Teresa 	O-317-L/N 	Collaborative research: Southern Ocean current observations from the U.S. Antarctic research vessels
Chu, Xinzhao 	A-130-M 	Lidar Investigation of middle and upper atmosphere temperature, composition, chemistry, and dynamics at McMurdo, Antarctica
Clark, Peter U. 	I-311-M 	Collaborative Research: Dating and modeling the last deglaciation of the Ross Sea sector of the West Antarctic Ice Sheet
Clauer, C. Robert 	A-106-M/S 	Collaborative Research: Polar Experiment Network for Geospace Upper-atmosphere Investigations: Interhemispheric investigations along the 40-degree magnetic meridian
Comberiate, Mike 	T-966-M 	TDRSS and NAILS
Conway, Howard 	I-209-M 	Deglaciation of the Ross Sea Embayment - constraints from Roosevelt Island
Conway, Howard 	I-210-M 	East Antarctic outlet glacier dynamics
Corbett, David 	O-176-L/P 	Submarine groundwater and freshwater inputs along the Western Antarctic Peninsula
